iter	Logloss
0	0.6860922464
1	0.6761184778
2	0.6673095423
3	0.6582124762
4	0.6517457023
5	0.6429034366
6	0.6362065991
7	0.6289887461
8	0.6211067489
9	0.6150739627
10	0.6086899948
11	0.6029061879
12	0.5968250283
13	0.5895713859
14	0.5825612718
15	0.5763770045
16	0.5706844241
17	0.5645309003
18	0.5582569956
19	0.5527172616
20	0.5476286052
21	0.5422349651
22	0.5387326906
23	0.5347017919
24	0.5295973302
25	0.5247077311
26	0.5209977054
27	0.5165306862
28	0.5130737568
29	0.5083660845
30	0.5057538695
31	0.5026072681
32	0.4990539746
33	0.4947172669
34	0.4906116248
35	0.4863214956
36	0.482456573
37	0.4794010972
38	0.4761483295
39	0.4725375301
40	0.4699682371
41	0.4675270239
42	0.4645912612
43	0.4618098662
44	0.4591917672
45	0.4569406346
46	0.4546005135
47	0.4514762785
48	0.4479077912
49	0.4447147917
50	0.4422497692
51	0.4397443567
52	0.4374250161
53	0.4358238988
54	0.433074752
55	0.4308144173
56	0.4294264859
57	0.4267401271
58	0.4242461584
59	0.4225608384
60	0.4211483967
61	0.418820923
62	0.417178331
63	0.4149476932
64	0.412970609
65	0.411063047
66	0.4096507315
67	0.407862218
68	0.4066256867
69	0.4047199953
70	0.4032580921
71	0.4016357255
72	0.4005504492
73	0.3985351171
74	0.3968715582
75	0.3959728775
76	0.39417201
77	0.3924589765
78	0.3906603544
79	0.3889894559
80	0.3875438171
81	0.386085383
82	0.3847969368
83	0.3832467185
84	0.3822068902
85	0.3807831944
86	0.3794266476
87	0.3780795019
88	0.3766842054
89	0.3754372571
90	0.3743362088
91	0.3729835933
92	0.3723475275
93	0.3714509797
94	0.3703904416
95	0.3690622075
96	0.3679711202
97	0.3671858641
98	0.3659868406
99	0.3651241153
100	0.3642929549
101	0.3633678368
102	0.3622361806
103	0.361468772
104	0.3605254098
105	0.3597907622
106	0.3592961116
107	0.3582703465
108	0.3573363948
109	0.3565148625
110	0.3557791657
111	0.3548842638
112	0.3541367263
113	0.3528421379
114	0.3519895387
115	0.3509690049
116	0.3503608661
117	0.349680495
118	0.3489778799
119	0.3483439641
120	0.3476016574
121	0.3467741385
122	0.346177114
123	0.3456356442
124	0.3447451809
125	0.3440268172
126	0.3433299923
127	0.3427662628
128	0.3417317845
129	0.3410142352
130	0.3403074581
131	0.3398322022
132	0.3392034787
133	0.3386527891
134	0.3379704646
135	0.3373636727
136	0.3368773765
137	0.3362050467
138	0.3355535867
139	0.3348597398
140	0.3342079046
141	0.333713575
142	0.3332434519
143	0.3326457976
144	0.3319870738
145	0.3311102012
146	0.3304344269
147	0.3299307355
148	0.3293836315
149	0.328676025
150	0.328243109
151	0.3277015985
152	0.3273027867
153	0.3266804161
154	0.3260441927
155	0.3252875815
156	0.3244497757
157	0.3239414525
158	0.3235212279
159	0.3231488126
160	0.3224739765
161	0.3218310138
162	0.3214869243
163	0.3209015716
164	0.3204966535
165	0.3199706563
166	0.3197272059
167	0.319252949
168	0.3188081208
169	0.3184550683
170	0.3179734521
171	0.3175918745
172	0.3171298137
173	0.3167549764
174	0.316435894
175	0.3160162532
176	0.3156355103
177	0.3150457481
178	0.3146762473
179	0.3143380106
180	0.3140424192
181	0.3137023981
182	0.3133648938
183	0.3130329078
184	0.312746918
185	0.312290125
186	0.3118294425
187	0.3114609793
188	0.3111581681
189	0.310747933
190	0.3104278749
191	0.3099546398
192	0.3093300242
193	0.3089839118
194	0.3085359987
195	0.3080694921
196	0.3076139268
197	0.3072249921
198	0.3068460021
199	0.3065132566
200	0.306156475
201	0.3058217697
202	0.3054495792
203	0.3049397809
204	0.3044258337
205	0.3041078799
206	0.3037462299
207	0.3031105131
208	0.3023837737
209	0.3017345478
210	0.3015242856
211	0.3013119707
212	0.3008318513
213	0.3006649038
214	0.3004458616
215	0.3000417394
216	0.2996911471
217	0.2993643966
218	0.2991472267
219	0.2987814858
220	0.298211403
221	0.2978669014
222	0.2976183277
223	0.2973229062
224	0.2969103567
225	0.2966533505
226	0.2964435316
227	0.2960602971
228	0.2959211842
229	0.2957226046
230	0.2954474824
231	0.2952702463
232	0.295003726
233	0.2947476558
234	0.2945326244
235	0.2942399508
236	0.2940042094
237	0.2937573103
238	0.2933598903
239	0.2928564427
240	0.2927159369
241	0.292415314
242	0.2922780612
243	0.2921610289
244	0.2919596134
245	0.291870084
246	0.2916210278
247	0.2914289063
248	0.291019253
249	0.2905365199
250	0.2904301768
251	0.2903039548
252	0.2898266385
253	0.2896137627
254	0.2893986473
255	0.2891837064
256	0.288746896
257	0.288425494
258	0.288193728
259	0.287997373
260	0.287781239
261	0.2876280726
262	0.2873929939
263	0.2871330033
264	0.2869796763
265	0.2867657657
266	0.2864705348
267	0.2863247607
268	0.2860431057
269	0.285833079
270	0.2855322177
271	0.2852492504
272	0.2850245829
273	0.2848583732
274	0.2844713208
275	0.2842921009
276	0.2842521969
277	0.2841537052
278	0.2836802117
279	0.2835366047
280	0.2834390087
281	0.2831903386
282	0.2830443379
283	0.2828938898
284	0.2826951047
285	0.2823542273
286	0.2822060085
287	0.2819643138
288	0.2817327093
289	0.2814152975
290	0.2813139883
291	0.2810003964
292	0.2807098138
293	0.2805748285
294	0.2804442763
295	0.280344549
296	0.2801003669
297	0.2800216872
298	0.2797708472
299	0.279619152
300	0.2794593433
301	0.2790480715
302	0.27867498
303	0.2783848963
304	0.2781709584
305	0.2780539646
306	0.2779106304
307	0.2776978236
308	0.2774978411
309	0.277309231
310	0.2771755666
311	0.2771145425
312	0.2768861239
313	0.2765577085
314	0.2764514444
315	0.2763125025
316	0.2761256402
317	0.275952596
318	0.2758375159
319	0.275602904
320	0.2754877936
321	0.2754037521
322	0.2752243375
323	0.2750045909
324	0.2748879369
325	0.2747347827
326	0.2744874708
327	0.2742036427
328	0.2740538528
329	0.2735356827
330	0.2732537603
331	0.2729931828
332	0.2729224764
333	0.2728589897
334	0.2727308024
335	0.2725886224
336	0.2722872086
337	0.2721687887
338	0.2720004792
339	0.271689718
340	0.2715765381
341	0.2714998471
342	0.2712364444
343	0.2710829168
344	0.2709273806
345	0.2708268362
346	0.27048323
347	0.270379184
348	0.2702067431
349	0.2699159044
350	0.2697686629
351	0.2695414145
352	0.269338735
353	0.2692505034
