iter	Passed	Remaining
0	0	514
1	1	510
2	1	461
3	1	455
4	2	419
5	2	403
6	2	401
7	3	394
8	3	391
9	4	400
10	4	396
11	4	389
12	5	382
13	5	399
14	6	398
15	6	398
16	6	392
17	7	386
18	7	386
19	7	386
20	8	385
21	8	383
22	9	390
23	9	392
24	10	392
25	10	398
26	11	401
27	11	405
28	12	405
29	12	409
30	13	407
31	13	407
32	13	406
33	14	403
34	14	402
35	14	400
36	15	401
37	16	420
38	17	424
39	17	430
40	19	445
41	19	444
42	19	444
43	20	441
44	20	439
45	21	440
46	21	439
47	22	439
48	22	437
49	22	436
50	23	434
51	23	433
52	24	430
53	24	430
54	25	429
55	25	429
56	25	426
57	26	426
58	26	424
59	27	423
60	27	421
61	27	420
62	28	419
63	28	417
64	28	416
65	29	415
66	29	415
67	30	422
68	31	420
69	31	418
70	32	422
71	32	421
72	33	419
73	33	418
74	33	416
75	34	414
76	34	412
77	34	411
78	35	410
79	35	409
80	35	407
81	36	406
82	36	404
83	36	403
84	37	402
85	37	401
86	38	400
87	38	400
88	39	399
89	39	398
90	39	397
91	40	397
92	40	396
93	41	396
94	41	395
95	42	395
96	42	395
97	43	396
98	43	395
99	43	394
100	44	393
101	44	392
102	44	391
103	45	389
104	45	388
105	46	388
106	46	388
107	46	387
108	47	389
109	48	389
110	48	390
111	49	389
112	49	389
113	50	389
114	50	389
115	51	389
116	51	388
117	51	387
118	52	387
119	52	386
120	53	385
121	53	384
122	53	382
123	54	381
124	54	380
125	54	379
126	55	379
127	55	378
128	55	377
129	56	376
130	56	375
131	57	375
132	57	375
133	57	374
134	58	375
135	59	375
136	59	374
137	59	374
138	60	374
139	60	373
140	61	373
141	61	374
142	63	379
143	63	379
144	64	378
145	64	377
146	64	376
147	65	376
148	65	375
149	66	375
150	66	374
151	66	373
152	67	372
153	67	371
154	68	371
155	68	370
156	68	369
157	69	368
158	69	367
159	69	367
160	70	366
161	70	365
162	71	364
163	71	364
164	71	363
165	72	362
166	72	361
167	72	361
168	73	360
169	73	359
170	73	358
171	74	357
172	74	357
173	75	356
174	75	355
175	75	355
176	76	355
177	76	354
178	77	354
179	77	353
180	78	353
181	78	352
182	78	352
183	79	351
184	80	352
185	80	352
186	80	351
187	81	351
188	81	350
189	82	350
190	82	350
191	83	350
192	83	349
193	83	348
194	84	348
195	84	347
196	85	347
197	85	346
198	85	345
199	86	345
200	86	344
201	87	343
202	87	343
203	87	342
204	88	343
205	88	342
206	89	342
207	89	342
208	90	341
209	90	340
210	90	339
211	91	339
212	91	338
213	92	338
214	92	338
215	93	338
216	93	337
217	93	336
218	94	336
219	94	336
220	95	336
221	96	337
222	96	336
223	97	336
224	97	335
225	98	336
226	98	336
227	99	336
228	100	336
229	100	336
230	100	336
231	101	335
232	101	334
233	102	334
234	102	333
235	102	332
236	103	332
237	103	331
238	103	330
239	104	330
240	105	330
241	105	330
242	106	330
243	106	330
244	107	329
245	107	329
246	107	328
247	108	328
248	108	327
249	109	327
250	109	326
251	109	326
252	110	325
253	110	325
254	111	325
255	111	324
256	112	324
257	112	324
258	113	323
259	113	323
260	114	322
261	114	322
262	114	322
263	115	321
264	116	322
265	116	321
266	116	321
267	117	320
268	117	320
269	118	319
270	118	319
271	119	318
272	119	318
273	120	319
274	121	319
275	121	318
276	122	318
277	122	318
278	122	317
279	123	316
280	123	316
281	123	315
282	124	315
283	124	314
284	125	315
285	126	315
286	126	314
287	127	315
288	127	314
289	128	314
290	128	313
291	129	313
292	129	312
293	129	312
294	130	311
295	130	310
296	131	310
297	131	309
298	131	308
299	132	308
300	132	307
301	132	307
302	133	306
303	133	306
304	134	305
305	134	305
306	135	304
307	135	304
308	135	303
309	136	302
310	136	302
311	136	301
312	137	300
313	137	300
314	137	299
315	138	299
316	138	298
317	138	297
318	139	297
319	139	296
320	139	295
321	140	295
322	140	294
323	140	293
324	141	293
325	141	292
326	141	291
327	142	291
328	142	291
329	143	290
330	143	290
331	143	289
332	144	289
333	144	288
334	145	288
335	145	287
336	145	286
337	146	286
338	146	285
339	146	284
340	147	284
341	147	283
342	147	283
343	148	282
344	148	281
345	148	281
346	149	280
347	149	280
348	150	280
349	150	279
350	151	279
351	151	279
352	152	278
353	152	278
354	152	277
355	153	277
356	153	276
357	154	276
358	154	275
359	154	275
360	155	274
361	155	273
362	155	273
363	156	272
364	156	272
365	156	271
366	162	279
367	162	279
368	163	278
369	163	278
370	164	278
371	164	277
372	164	277
373	165	276
374	165	276
375	166	275
376	166	275
377	166	274
378	167	274
379	167	273
380	167	272
381	168	272
382	168	271
383	168	271
384	169	270
385	169	269
386	169	269
387	170	268
388	170	268
389	171	267
390	171	267
391	171	266
392	172	265
393	172	265
394	172	264
395	173	264
396	173	263
397	173	263
398	174	262
399	174	262
400	175	261
401	175	261
402	175	260
403	176	260
404	176	259
405	177	259
406	177	258
407	177	257
408	178	257
409	178	256
410	178	256
411	179	255
412	179	255
413	179	254
414	180	254
415	180	253
416	181	253
417	181	253
418	182	252
419	182	252
420	182	251
421	183	251
422	183	250
423	185	251
424	185	251
425	186	250
426	186	250
427	187	249
428	187	249
429	188	249
430	188	248
431	188	248
432	189	247
433	189	247
434	190	247
435	190	246
436	191	246
437	191	245
438	191	245
439	192	244
440	192	244
441	193	243
442	193	243
443	193	242
444	194	242
445	194	241
446	194	240
447	195	240
448	195	239
449	195	239
450	196	238
451	196	238
452	197	237
453	197	237
454	198	237
455	199	237
456	199	237
457	200	236
458	200	236
459	201	236
460	201	235
461	201	234
462	202	234
463	202	233
464	202	233
465	203	232
466	203	232
467	203	231
468	204	231
469	204	231
470	205	230
471	205	230
472	205	229
473	206	228
474	206	228
475	207	227
476	207	227
477	208	227
478	208	226
479	208	226
480	209	225
481	209	225
482	209	224
483	210	224
484	210	223
485	211	223
486	211	222
487	211	222
488	212	221
489	212	221
490	213	221
491	213	220
492	214	220
493	214	219
494	215	219
495	215	219
496	216	218
497	216	218
498	217	218
499	217	217
500	218	217
501	218	216
502	218	216
503	219	215
504	219	215
505	219	214
506	220	214
507	220	213
508	220	213
509	221	212
510	221	212
511	221	211
512	222	211
513	222	210
514	223	210
515	223	209
516	223	209
517	224	208
518	224	207
519	224	207
520	225	206
521	225	206
522	225	205
523	226	205
524	226	204
525	226	204
526	226	203
527	227	203
528	227	202
529	228	202
530	228	201
531	229	201
532	229	200
533	229	200
534	230	199
535	230	199
536	230	199
537	231	198
538	231	198
539	231	197
540	232	197
541	232	196
542	233	196
543	233	195
544	233	195
545	234	194
546	234	194
547	234	193
548	235	193
549	235	192
550	236	192
551	236	191
552	236	191
553	237	191
554	237	190
555	237	190
556	238	189
557	238	189
558	238	188
559	239	188
560	239	187
561	240	187
562	240	186
563	240	186
564	241	185
565	241	185
566	241	184
567	242	184
568	242	183
569	242	183
570	243	182
571	243	182
572	243	181
573	244	181
574	244	180
575	244	180
576	245	179
577	245	179
578	245	178
579	246	178
580	246	177
581	246	177
582	247	176
583	247	176
584	247	175
585	248	175
586	248	175
587	249	174
588	249	174
589	249	173
590	250	173
591	250	172
592	250	172
593	251	171
594	251	171
595	251	170
596	252	170
597	252	169
598	252	169
599	253	168
600	253	168
601	253	167
602	254	167
603	254	167
604	255	166
605	255	166
606	255	165
607	256	165
608	256	164
609	256	164
610	257	163
611	257	163
612	258	162
613	258	162
614	258	162
615	259	161
616	259	161
617	260	160
618	260	160
619	260	159
620	261	159
621	261	159
622	262	158
623	262	158
624	262	157
625	263	157
626	263	156
627	264	156
628	264	155
629	264	155
630	265	155
631	265	154
632	266	154
633	267	154
634	267	153
635	267	153
636	268	152
637	268	152
638	268	151
639	269	151
640	269	150
641	269	150
642	270	150
643	270	149
644	270	149
645	271	148
646	271	148
647	272	147
648	272	147
649	272	146
650	273	146
651	273	146
652	274	145
653	274	145
654	274	144
655	275	144
656	275	143
657	276	143
658	276	143
659	277	142
660	277	142
661	277	141
662	278	141
663	278	140
664	279	140
665	279	140
666	279	139
667	280	139
668	280	138
669	280	138
670	281	137
671	281	137
672	282	137
673	282	136
674	282	136
675	283	135
676	283	135
677	283	134
678	284	134
679	284	133
680	284	133
681	285	132
682	285	132
683	285	132
684	286	131
685	286	131
686	286	130
